:START_ID(Question),:END_ID(Disease),:TYPE
Q00049,D16168,QUESTION_HAS_DISEASE
Q00049,D06379,QUESTION_HAS_DISEASE
Q00049,D10895,QUESTION_HAS_DISEASE
Q00049,D16487,QUESTION_HAS_DISEASE
Q00050,D11395,QUESTION_HAS_DISEASE
Q00050,D04492,QUESTION_HAS_DISEASE
Q00050,D13424,QUESTION_HAS_DISEASE
Q00050,D12697,QUESTION_HAS_DISEASE
Q00050,D05070,QUESTION_HAS_DISEASE
Q00050,D09334,QUESTION_HAS_DISEASE
Q00050,D16202,QUESTION_HAS_DISEASE
Q00050,D02642,QUESTION_HAS_DISEASE
Q00050,D16168,QUESTION_HAS_DISEASE
Q00050,D08719,QUESTION_HAS_DISEASE
Q00051,D07274,QUESTION_HAS_DISEASE
Q00051,D16202,QUESTION_HAS_DISEASE
Q00051,D09321,QUESTION_HAS_DISEASE
Q00052,D02676,QUESTION_HAS_DISEASE
Q00052,D12258,QUESTION_HAS_DISEASE
Q00052,D16202,QUESTION_HAS_DISEASE
Q00052,D16168,QUESTION_HAS_DISEASE
Q00052,D08719,QUESTION_HAS_DISEASE
Q00054,D04861,QUESTION_HAS_DISEASE
Q00054,D14547,QUESTION_HAS_DISEASE
Q00054,D04225,QUESTION_HAS_DISEASE
Q00054,D04268,QUESTION_HAS_DISEASE
Q00054,D00776,QUESTION_HAS_DISEASE
Q00054,D02737,QUESTION_HAS_DISEASE
Q00055,D03061,QUESTION_HAS_DISEASE
Q00055,D10326,QUESTION_HAS_DISEASE
Q00055,D05000,QUESTION_HAS_DISEASE
Q00055,D01139,QUESTION_HAS_DISEASE
Q00056,D09695,QUESTION_HAS_DISEASE
Q00056,D01610,QUESTION_HAS_DISEASE
Q00056,D05000,QUESTION_HAS_DISEASE
Q00056,D13827,QUESTION_HAS_DISEASE
Q00058,D11240,QUESTION_HAS_DISEASE
Q00058,D01139,QUESTION_HAS_DISEASE
Q00059,D04132,QUESTION_HAS_DISEASE
Q00061,D15119,QUESTION_HAS_DISEASE
Q00061,D05236,QUESTION_HAS_DISEASE
Q00062,D05236,QUESTION_HAS_DISEASE
Q00064,D12880,QUESTION_HAS_DISEASE
Q00064,D09164,QUESTION_HAS_DISEASE
Q00064,D12069,QUESTION_HAS_DISEASE
Q00064,D12258,QUESTION_HAS_DISEASE
Q00064,D00380,QUESTION_HAS_DISEASE
Q00064,D16618,QUESTION_HAS_DISEASE
Q00064,D05742,QUESTION_HAS_DISEASE
Q00064,D11776,QUESTION_HAS_DISEASE
Q00064,D09373,QUESTION_HAS_DISEASE
Q00064,D15191,QUESTION_HAS_DISEASE
Q00064,D01358,QUESTION_HAS_DISEASE
Q00064,D16578,QUESTION_HAS_DISEASE
Q00064,D11777,QUESTION_HAS_DISEASE
Q00065,D16600,QUESTION_HAS_DISEASE
Q00065,D12069,QUESTION_HAS_DISEASE
Q00066,D05209,QUESTION_HAS_DISEASE
Q00066,D09164,QUESTION_HAS_DISEASE
Q00066,D12069,QUESTION_HAS_DISEASE
Q00066,D09166,QUESTION_HAS_DISEASE
Q00066,D12258,QUESTION_HAS_DISEASE
Q00066,D00380,QUESTION_HAS_DISEASE
Q00066,D15191,QUESTION_HAS_DISEASE
Q00066,D15445,QUESTION_HAS_DISEASE
Q00066,D01358,QUESTION_HAS_DISEASE
Q00066,D05000,QUESTION_HAS_DISEASE
Q00066,D01139,QUESTION_HAS_DISEASE
Q00066,D13919,QUESTION_HAS_DISEASE
Q00066,D00370,QUESTION_HAS_DISEASE
Q00067,D08748,QUESTION_HAS_DISEASE
Q00067,D01372,QUESTION_HAS_DISEASE
Q00067,D09373,QUESTION_HAS_DISEASE
Q00067,D09164,QUESTION_HAS_DISEASE
Q00067,D12069,QUESTION_HAS_DISEASE
Q00067,D09166,QUESTION_HAS_DISEASE
Q00067,D08831,QUESTION_HAS_DISEASE
Q00067,D11776,QUESTION_HAS_DISEASE
Q00067,D01358,QUESTION_HAS_DISEASE
Q00067,D15191,QUESTION_HAS_DISEASE
Q00067,D16042,QUESTION_HAS_DISEASE
Q00067,D12258,QUESTION_HAS_DISEASE
Q00067,D01362,QUESTION_HAS_DISEASE
Q00067,D01363,QUESTION_HAS_DISEASE
Q00067,D02701,QUESTION_HAS_DISEASE
Q00067,D16615,QUESTION_HAS_DISEASE
Q00067,D15081,QUESTION_HAS_DISEASE
Q00067,D14616,QUESTION_HAS_DISEASE
Q00067,D16618,QUESTION_HAS_DISEASE
Q00067,D11020,QUESTION_HAS_DISEASE
Q00067,D12296,QUESTION_HAS_DISEASE
Q00067,D05209,QUESTION_HAS_DISEASE
Q00068,D12258,QUESTION_HAS_DISEASE
Q00068,D16618,QUESTION_HAS_DISEASE
Q00068,D15191,QUESTION_HAS_DISEASE
Q00068,D01358,QUESTION_HAS_DISEASE
Q00068,D12069,QUESTION_HAS_DISEASE
Q00069,D12069,QUESTION_HAS_DISEASE
Q00070,D16600,QUESTION_HAS_DISEASE
Q00070,D12069,QUESTION_HAS_DISEASE
Q00071,D12069,QUESTION_HAS_DISEASE
Q00071,D12258,QUESTION_HAS_DISEASE
Q00071,D15191,QUESTION_HAS_DISEASE
Q00071,D15445,QUESTION_HAS_DISEASE
Q00071,D09168,QUESTION_HAS_DISEASE
Q00072,D12258,QUESTION_HAS_DISEASE
Q00072,D01139,QUESTION_HAS_DISEASE
Q00072,D05000,QUESTION_HAS_DISEASE
Q00072,D12069,QUESTION_HAS_DISEASE
Q00073,D12258,QUESTION_HAS_DISEASE
Q00073,D08748,QUESTION_HAS_DISEASE
Q00073,D15433,QUESTION_HAS_DISEASE
Q00073,D12069,QUESTION_HAS_DISEASE
Q00074,D09164,QUESTION_HAS_DISEASE
Q00074,D12069,QUESTION_HAS_DISEASE
Q00074,D15081,QUESTION_HAS_DISEASE
Q00074,D08748,QUESTION_HAS_DISEASE
Q00074,D14616,QUESTION_HAS_DISEASE
Q00074,D09166,QUESTION_HAS_DISEASE
Q00074,D12258,QUESTION_HAS_DISEASE
Q00074,D09373,QUESTION_HAS_DISEASE
Q00074,D11776,QUESTION_HAS_DISEASE
Q00074,D01358,QUESTION_HAS_DISEASE
Q00074,D01362,QUESTION_HAS_DISEASE
Q00074,D01363,QUESTION_HAS_DISEASE
Q00074,D11020,QUESTION_HAS_DISEASE
Q00075,D12258,QUESTION_HAS_DISEASE
Q00075,D16042,QUESTION_HAS_DISEASE
Q00075,D02701,QUESTION_HAS_DISEASE
Q00075,D12069,QUESTION_HAS_DISEASE
Q00076,D12069,QUESTION_HAS_DISEASE
Q00076,D12258,QUESTION_HAS_DISEASE
Q00076,D15191,QUESTION_HAS_DISEASE
Q00076,D01358,QUESTION_HAS_DISEASE
Q00076,D05209,QUESTION_HAS_DISEASE
Q00077,D07208,QUESTION_HAS_DISEASE
Q00077,D04861,QUESTION_HAS_DISEASE
Q00077,D00798,QUESTION_HAS_DISEASE
Q00077,D15567,QUESTION_HAS_DISEASE
Q00077,D01210,QUESTION_HAS_DISEASE
Q00077,D09919,QUESTION_HAS_DISEASE
Q00077,D12012,QUESTION_HAS_DISEASE
Q00077,D11226,QUESTION_HAS_DISEASE
Q00077,D03180,QUESTION_HAS_DISEASE
Q00077,D05070,QUESTION_HAS_DISEASE
Q00077,D15347,QUESTION_HAS_DISEASE
Q00077,D15349,QUESTION_HAS_DISEASE
Q00077,D05000,QUESTION_HAS_DISEASE
Q00077,D15348,QUESTION_HAS_DISEASE
Q00078,D13816,QUESTION_HAS_DISEASE
Q00078,D07208,QUESTION_HAS_DISEASE
Q00078,D08725,QUESTION_HAS_DISEASE
Q00078,D05387,QUESTION_HAS_DISEASE
Q00078,D15567,QUESTION_HAS_DISEASE
Q00078,D07203,QUESTION_HAS_DISEASE
Q00078,D09919,QUESTION_HAS_DISEASE
Q00078,D02468,QUESTION_HAS_DISEASE
Q00078,D08748,QUESTION_HAS_DISEASE
Q00078,D08798,QUESTION_HAS_DISEASE
Q00078,D15347,QUESTION_HAS_DISEASE
Q00078,D15346,QUESTION_HAS_DISEASE
Q00078,D08490,QUESTION_HAS_DISEASE
Q00078,D15817,QUESTION_HAS_DISEASE
Q00078,D15349,QUESTION_HAS_DISEASE
Q00078,D05484,QUESTION_HAS_DISEASE
Q00079,D05484,QUESTION_HAS_DISEASE
Q00079,D15346,QUESTION_HAS_DISEASE
Q00079,D15347,QUESTION_HAS_DISEASE
Q00079,D00665,QUESTION_HAS_DISEASE
Q00079,D12279,QUESTION_HAS_DISEASE
Q00079,D15567,QUESTION_HAS_DISEASE
Q00079,D05070,QUESTION_HAS_DISEASE
Q00079,D03092,QUESTION_HAS_DISEASE
Q00079,D08148,QUESTION_HAS_DISEASE
Q00079,D09845,QUESTION_HAS_DISEASE
Q00079,D12598,QUESTION_HAS_DISEASE
Q00079,D00861,QUESTION_HAS_DISEASE
Q00079,D10872,QUESTION_HAS_DISEASE
Q00079,D08725,QUESTION_HAS_DISEASE
Q00079,D00105,QUESTION_HAS_DISEASE
Q00079,D07217,QUESTION_HAS_DISEASE
Q00079,D05000,QUESTION_HAS_DISEASE
Q00079,D15348,QUESTION_HAS_DISEASE
Q00080,D15346,QUESTION_HAS_DISEASE
Q00080,D08719,QUESTION_HAS_DISEASE
Q00080,D15347,QUESTION_HAS_DISEASE
Q00081,D08069,QUESTION_HAS_DISEASE
Q00081,D05070,QUESTION_HAS_DISEASE
Q00081,D11798,QUESTION_HAS_DISEASE
Q00081,D04853,QUESTION_HAS_DISEASE
Q00081,D15347,QUESTION_HAS_DISEASE
Q00082,D12012,QUESTION_HAS_DISEASE
Q00082,D05175,QUESTION_HAS_DISEASE
Q00083,D15346,QUESTION_HAS_DISEASE
Q00083,D15347,QUESTION_HAS_DISEASE
Q00084,D05387,QUESTION_HAS_DISEASE
Q00084,D08725,QUESTION_HAS_DISEASE
Q00084,D07203,QUESTION_HAS_DISEASE
Q00084,D07214,QUESTION_HAS_DISEASE
Q00084,D15347,QUESTION_HAS_DISEASE
Q00084,D07217,QUESTION_HAS_DISEASE
Q00085,D13816,QUESTION_HAS_DISEASE
Q00085,D04171,QUESTION_HAS_DISEASE
Q00085,D15348,QUESTION_HAS_DISEASE
Q00087,D15346,QUESTION_HAS_DISEASE
Q00088,D13816,QUESTION_HAS_DISEASE
Q00088,D15346,QUESTION_HAS_DISEASE
Q00088,D08490,QUESTION_HAS_DISEASE
Q00090,D04853,QUESTION_HAS_DISEASE
Q00090,D15347,QUESTION_HAS_DISEASE
Q00091,D15119,QUESTION_HAS_DISEASE
Q00091,D16704,QUESTION_HAS_DISEASE
Q00091,D01141,QUESTION_HAS_DISEASE
Q00091,D12483,QUESTION_HAS_DISEASE
Q00091,D13227,QUESTION_HAS_DISEASE
Q00091,D12481,QUESTION_HAS_DISEASE
Q00091,D01139,QUESTION_HAS_DISEASE
Q00091,D05070,QUESTION_HAS_DISEASE
Q00091,D01142,QUESTION_HAS_DISEASE
Q00091,D01143,QUESTION_HAS_DISEASE
Q00091,D07274,QUESTION_HAS_DISEASE
Q00091,D12482,QUESTION_HAS_DISEASE
Q00091,D05000,QUESTION_HAS_DISEASE
Q00092,D12481,QUESTION_HAS_DISEASE
Q00092,D09082,QUESTION_HAS_DISEASE
Q00092,D10895,QUESTION_HAS_DISEASE
Q00092,D16704,QUESTION_HAS_DISEASE
Q00092,D03688,QUESTION_HAS_DISEASE
Q00092,D09701,QUESTION_HAS_DISEASE
Q00092,D05070,QUESTION_HAS_DISEASE
Q00092,D16578,QUESTION_HAS_DISEASE
Q00092,D11776,QUESTION_HAS_DISEASE
Q00092,D07226,QUESTION_HAS_DISEASE
Q00092,D07274,QUESTION_HAS_DISEASE
Q00092,D12482,QUESTION_HAS_DISEASE
Q00092,D05317,QUESTION_HAS_DISEASE
Q00092,D01143,QUESTION_HAS_DISEASE
Q00092,D01141,QUESTION_HAS_DISEASE
Q00092,D12483,QUESTION_HAS_DISEASE
Q00092,D13227,QUESTION_HAS_DISEASE
Q00092,D06295,QUESTION_HAS_DISEASE
Q00092,D10896,QUESTION_HAS_DISEASE
Q00092,D15025,QUESTION_HAS_DISEASE
Q00092,D15119,QUESTION_HAS_DISEASE
Q00092,D15836,QUESTION_HAS_DISEASE
Q00092,D04127,QUESTION_HAS_DISEASE
Q00092,D01139,QUESTION_HAS_DISEASE
Q00092,D05000,QUESTION_HAS_DISEASE
Q00093,D06112,QUESTION_HAS_DISEASE
Q00093,D10960,QUESTION_HAS_DISEASE
Q00093,D01141,QUESTION_HAS_DISEASE
Q00093,D03688,QUESTION_HAS_DISEASE
Q00093,D12483,QUESTION_HAS_DISEASE
Q00093,D12481,QUESTION_HAS_DISEASE
Q00093,D12857,QUESTION_HAS_DISEASE
Q00093,D05070,QUESTION_HAS_DISEASE
Q00093,D00103,QUESTION_HAS_DISEASE
Q00093,D07226,QUESTION_HAS_DISEASE
Q00093,D01139,QUESTION_HAS_DISEASE
Q00093,D01143,QUESTION_HAS_DISEASE
Q00093,D07274,QUESTION_HAS_DISEASE
Q00093,D12482,QUESTION_HAS_DISEASE
Q00093,D05000,QUESTION_HAS_DISEASE
Q00094,D01143,QUESTION_HAS_DISEASE
Q00095,D01141,QUESTION_HAS_DISEASE
Q00095,D01143,QUESTION_HAS_DISEASE
Q00096,D01143,QUESTION_HAS_DISEASE
Q00096,D01141,QUESTION_HAS_DISEASE
Q00096,D12483,QUESTION_HAS_DISEASE
Q00097,D15836,QUESTION_HAS_DISEASE
Q00097,D16704,QUESTION_HAS_DISEASE
Q00097,D06295,QUESTION_HAS_DISEASE
Q00097,D09701,QUESTION_HAS_DISEASE
Q00097,D11240,QUESTION_HAS_DISEASE
Q00097,D01141,QUESTION_HAS_DISEASE
Q00097,D09082,QUESTION_HAS_DISEASE
Q00097,D07226,QUESTION_HAS_DISEASE
Q00097,D10895,QUESTION_HAS_DISEASE
Q00097,D01139,QUESTION_HAS_DISEASE
Q00099,D16704,QUESTION_HAS_DISEASE
Q00099,D03688,QUESTION_HAS_DISEASE
Q00099,D13227,QUESTION_HAS_DISEASE
Q00099,D12481,QUESTION_HAS_DISEASE
Q00099,D12483,QUESTION_HAS_DISEASE
Q00099,D12482,QUESTION_HAS_DISEASE
Q00099,D16578,QUESTION_HAS_DISEASE
Q00099,D11776,QUESTION_HAS_DISEASE
Q00099,D15025,QUESTION_HAS_DISEASE
Q00099,D05317,QUESTION_HAS_DISEASE
Q00100,D12481,QUESTION_HAS_DISEASE
Q00100,D12483,QUESTION_HAS_DISEASE
Q00100,D12857,QUESTION_HAS_DISEASE
Q00100,D01141,QUESTION_HAS_DISEASE
Q00100,D12482,QUESTION_HAS_DISEASE
Q00101,D01143,QUESTION_HAS_DISEASE
Q00102,D14601,QUESTION_HAS_DISEASE
Q00102,D12483,QUESTION_HAS_DISEASE
Q00102,D01590,QUESTION_HAS_DISEASE
Q00102,D12482,QUESTION_HAS_DISEASE
Q00102,D01143,QUESTION_HAS_DISEASE
Q00103,D12858,QUESTION_HAS_DISEASE
Q00104,D09184,QUESTION_HAS_DISEASE
Q00104,D11637,QUESTION_HAS_DISEASE
Q00104,D14622,QUESTION_HAS_DISEASE
Q00104,D15969,QUESTION_HAS_DISEASE
Q00104,D02722,QUESTION_HAS_DISEASE
Q00104,D09121,QUESTION_HAS_DISEASE
Q00104,D05070,QUESTION_HAS_DISEASE
Q00104,D07274,QUESTION_HAS_DISEASE
Q00104,D08843,QUESTION_HAS_DISEASE
Q00104,D13251,QUESTION_HAS_DISEASE
Q00104,D06295,QUESTION_HAS_DISEASE
Q00104,D06813,QUESTION_HAS_DISEASE
Q00104,D09314,QUESTION_HAS_DISEASE
Q00104,D08725,QUESTION_HAS_DISEASE
Q00104,D16615,QUESTION_HAS_DISEASE
Q00104,D15081,QUESTION_HAS_DISEASE
Q00104,D15525,QUESTION_HAS_DISEASE
Q00104,D00626,QUESTION_HAS_DISEASE
Q00105,D16437,QUESTION_HAS_DISEASE
Q00105,D13100,QUESTION_HAS_DISEASE
Q00105,D13251,QUESTION_HAS_DISEASE
Q00105,D15081,QUESTION_HAS_DISEASE
Q00105,D01683,QUESTION_HAS_DISEASE
Q00105,D15972,QUESTION_HAS_DISEASE
Q00105,D05070,QUESTION_HAS_DISEASE
Q00105,D01654,QUESTION_HAS_DISEASE
Q00105,D02811,QUESTION_HAS_DISEASE
Q00105,D06813,QUESTION_HAS_DISEASE
Q00105,D03397,QUESTION_HAS_DISEASE
Q00105,D09314,QUESTION_HAS_DISEASE
Q00105,D07274,QUESTION_HAS_DISEASE
Q00105,D12650,QUESTION_HAS_DISEASE
Q00106,D16615,QUESTION_HAS_DISEASE
Q00106,D09321,QUESTION_HAS_DISEASE
Q00106,D02722,QUESTION_HAS_DISEASE
Q00106,D15081,QUESTION_HAS_DISEASE
Q00106,D00916,QUESTION_HAS_DISEASE
Q00106,D05070,QUESTION_HAS_DISEASE
Q00106,D06313,QUESTION_HAS_DISEASE
Q00106,D07274,QUESTION_HAS_DISEASE
Q00107,D05075,QUESTION_HAS_DISEASE
Q00107,D14622,QUESTION_HAS_DISEASE
Q00107,D04861,QUESTION_HAS_DISEASE
Q00107,D15081,QUESTION_HAS_DISEASE
Q00107,D09121,QUESTION_HAS_DISEASE
Q00107,D05070,QUESTION_HAS_DISEASE
Q00107,D09124,QUESTION_HAS_DISEASE
Q00107,D09314,QUESTION_HAS_DISEASE
Q00107,D07274,QUESTION_HAS_DISEASE
Q00108,D16042,QUESTION_HAS_DISEASE
Q00108,D11395,QUESTION_HAS_DISEASE
Q00108,D08725,QUESTION_HAS_DISEASE
Q00108,D15969,QUESTION_HAS_DISEASE
Q00108,D02722,QUESTION_HAS_DISEASE
Q00108,D15081,QUESTION_HAS_DISEASE
Q00108,D02729,QUESTION_HAS_DISEASE
Q00108,D15713,QUESTION_HAS_DISEASE
Q00108,D14616,QUESTION_HAS_DISEASE
Q00108,D12288,QUESTION_HAS_DISEASE
Q00108,D05070,QUESTION_HAS_DISEASE
Q00108,D15191,QUESTION_HAS_DISEASE
Q00108,D07668,QUESTION_HAS_DISEASE
Q00108,D09314,QUESTION_HAS_DISEASE
Q00108,D08789,QUESTION_HAS_DISEASE
Q00108,D05087,QUESTION_HAS_DISEASE
Q00109,D05070,QUESTION_HAS_DISEASE
Q00110,D15969,QUESTION_HAS_DISEASE
Q00110,D09184,QUESTION_HAS_DISEASE
Q00110,D00626,QUESTION_HAS_DISEASE
Q00110,D05070,QUESTION_HAS_DISEASE
Q00110,D15961,QUESTION_HAS_DISEASE
Q00110,D11637,QUESTION_HAS_DISEASE
