disease_id:ID(Disease),name
D00165,abdominal wall defects
D00166,abduction
D00167,abetalipoproteinemia
D00168,ablepharon macrostomia syndrome
D00169,abnormal alpha-synuclein
D00170,abnormal autoantibodies
D00171,abnormal behavior
D00172,abnormal behavior amenorrhea gastrointestinal
D00173,abnormal behaviors
D00174,abnormal benign growths
D00175,abnormal bleeding
D00176,abnormal bleeding - abnormal electroretinogram - abnormal facial shape - autosomal recessive inheritance - congenital onset - depressed nasal ridge - failure to thrive - flat face - hypocholesterolemia - hyporeflexia - intellectual disability - malar flattening - osteoporosis - polyneuropathy - rod-cone dystrophy - single transverse palmar crease - steatorrhea - very long chain fatty acid
D00177,abnormal bleeding - abnormality of the abdomen - autosomal recessive inheritance - epistaxis - increased mean platelet volume - menorrhagia - prolonged bleeding time - purpura - thrombocytopenia - the human phenotype ontology (hpo
D00178,abnormal bleeding - abnormality of the abdominal wall - acute hepatic failure - ascites - autosomal recessive inheritance - cirrhosis - elevated alpha-fetoprotein - elevated hepatic transaminases - elevated urinary delta-aminolevulinic acid - enlarged kidneys - episodic peripheral neuropathy - failure to thrive - gastrointestinal hemorrhage - glomerulosclerosis - hepatocellular carcinoma - hypermethioninemia - hypertrophic cardiomyopathy - hypertyrosinemia - hypoglycemia - hypophosphatemic rickets - nephrocalcinosis - pancreatic islet-cell hyperplasia - paralytic ileus - periodic paralysis - renal fanconi syndrome - renal insufficiency - splenomegaly - the human phenotype ontology (hpo) has collected information on how often a sign or symptom occurs in a condition
D00179,abnormal bleeding - abnormality of the eye - abnormality of the urinary system - autosomal dominant inheritance
D00180,abnormal bleeding - abnormality of the genitourinary system - autosomal recessive inheritance - coma - hepatic steatosis
D00181,abnormal bleeding - abnormality of the paranasal sinuses - aplasia cutis congenita
D00182,abnormal bleeding - abnormality of the skeletal system - ataxia - autosomal recessive inheritance - behavioral abnormality - blindness - cardiomyopathy - cerebral atrophy
D00183,abnormal bleeding - acute leukemia - autosomal dominant inheritance - decreased mean platelet volume - myelodysplasia - prolonged bleeding
D00184,abnormal bleeding - amegakaryocytic thrombocytopenia
D00185,abnormal bleeding - autosomal dominant inheritance - autosomal recessive inheritance - prolonged partial thromboplastin time - reduced factor xi activity - the human phenotype ontology (hpo
D00186,abnormal bleeding - autosomal dominant inheritance - platelet antibody positive - thrombocytopenia
D00187,abnormal bleeding - autosomal recessive inheritance - bruising
D00188,abnormal bleeding - autosomal recessive inheritance - cholestasis - cirrhosis - congenital onset - hepatic failure - hepatic fibrosis - hepatocellular necrosis
D00189,abnormal bleeding - clinodactyly - intellectual disability
D00190,abnormal bleeding - glomerulonephritis - hematuria - increased iga level - thrombocytopenia - x-linked inheritance - the human phenotype ontology (hpo
D00191,abnormal bleeding disorder
D00192,abnormal bleeding episodes
D00193,"abnormal bleeding kidney abnormalities heart problems increased risk for certain cancers (leukemia, lymphoma"
D00194,abnormal blinking
D00195,abnormal blood clots
D00196,abnormal blood clotting
D00197,abnormal blood vessel
D00198,abnormal breaks
D00199,abnormal cell death
D00200,abnormal collarbones
D00201,abnormal decrease
D00202,abnormal dermatoglyphics
D00203,abnormal eating behaviors
D00204,abnormal esophagus
D00205,abnormal evc
D00206,abnormal external genitalia - abnormality of earlobe - deep plantar creases - flat occiput - hemolytic anemia - hepatosplenomegaly - the human phenotype ontology (hpo) has collected information on how often a sign or symptom occurs in a condition
D00207,abnormal eye movements
D00208,abnormal fibrous tissue around their fingers and toes (pseudoainhum
D00209,abnormal fibrous tissue in the small veins in the lungs
D00210,abnormal fingernails
D00211,abnormal gait
D00212,abnormal gait (style of walking
D00213,abnormal genitourinary system
D00214,"abnormal genitourinary system, and mental retardation"
D00215,abnormal head movements
D00216,abnormal heart murmurs
D00217,abnormal increase
D00218,abnormal inflammation
D00219,abnormal involuntary movement disorder
D00220,abnormal involuntary movements
D00221,abnormal involuntary muscle movements
D00222,abnormal jerking movements
D00223,abnormal keratinization
D00224,abnormal lesions
D00225,abnormal liver
D00226,abnormal liver function
D00227,abnormal menstrual bleeding
D00228,abnormal movements
D00229,abnormal muscle contractions
D00230,abnormal muscle movement
D00231,abnormal muscle movements
D00232,abnormal muscle postures
D00233,abnormal muscle spasms
D00234,abnormal muscle stiffness
D00235,abnormal muscle tone
D00236,abnormal myeloblasts
D00237,abnormal myeloid blasts
D00238,abnormal of blood vessels
D00239,abnormal or involuntary movements
D00240,abnormal overgrowth of the gum tissue
D00241,abnormal paleness of the skin (pallor
D00242,abnormal palmar dermatoglyphics - abnormality of the pinna - aganglionic megacolon - agenesis of maxillary lateral incisor - aggressive behavior - anal atresia - anophthalmia - bicuspid aortic valve - blindness - camptodactyly - ciliary body coloboma - cleft upper lip - clinodactyly - dental crowding - down-sloping shoulders - growth delay - high palate - hydroureter - hypospadias - intellectual disability - joint contracture
D00243,abnormal posturing - abnormality of the thymus - acidosis - agenesis of corpus callosum - albinism - autosomal recessive inheritance - cerebellar vermis hypoplasia - chronic mucocutaneous candidiasis - cleft palate - cleft upper lip - congenital cataract - congenital onset - congestive heart failure - cutaneous anergy - decreased number of cd4+ t cells - decreased t cell activation - dilated cardiomyopathy - failure to thrive - growth delay - hypopigmentation of the fundus - igg deficiency - immunoglobulin igg2 deficiency
D00244,abnormal posturing - anemia - autosomal recessive inheritance - congenital onset - decreased adenosylcobalamin - feeding difficulties - growth delay - homocystinuria - hyperhomocystinemia - inguinal hernia - lethargy - methylmalonic acidemia - methylmalonic aciduria - muscular hypotonia - neutropenia - tachypnea - thrombocytopenia - the human phenotype ontology (hpo) has collected information on how often a sign or symptom occurs in a condition
D00245,abnormal posturing - autosomal dominant inheritance - blepharospasm - dysarthria - hyperlordosis - kyphosis - muscular hypotonia - scoliosis - torsion dystonia - torticollis - tremor - writer's cramp - the human phenotype ontology (hpo) has collected information on how often a sign or symptom occurs in a condition
D00246,abnormal pregnancy
D00247,abnormal psychiatric
D00248,abnormal red blood cell formation
D00249,abnormal red blood cells and have uncommon forms of a blood condition known as
D00250,abnormal red blood cells and white blood cells
D00251,abnormal repetitive behaviors
D00252,abnormal sensation
D00253,abnormal sensations
D00254,"abnormal sensations like tingling, numbness"
D00255,abnormal sensory feelings such as numbness
D00256,abnormal sexual behavior
D00257,abnormal sister chromatid
D00258,abnormal skin sensations
D00259,abnormal smallness of body structures
D00260,"abnormal smallness of the head), micrognathia"
D00261,"abnormal smallness of the jaws), clenched fists"
D00262,abnormal spermatogenesis - abnormality of the hair - ataxia - autosomal recessive inheritance - bronchiectasis - choreoathetosis - conjunctival telangiectasia - decreased number of cd4+ t
D00263,abnormal sweating
D00264,abnormal swelling
D00265,abnormal testicle development - have
D00266,abnormal the cancer
D00267,abnormal thinning and weakness of the bones (osteoporosis
D00268,abnormal tightness
D00269,abnormal transformation
D00270,abnormal tremor
D00271,abnormal type ii
D00272,abnormal urinary tract
D00273,abnormal uterine bleeding
D00274,abnormal vaginal bleeding
D00275,abnormal vision
D00276,abnormal weight gain
D00277,abnormal wrist and elbow joint development that limits movement
D00278,"abnormal, fragile blood vessels underneath the macula"
D00279,abnormalities of connective tissue (tissue that supports the body's joints
D00280,abnormalities of eye and facial muscle movements
D00281,abnormalities of sensory perception
D00282,abnormalities of sexual
D00283,abnormalities of small blood vessels
D00284,abnormalities of the cardiac valves
D00285,abnormalities of the digestive system
D00286,"abnormalities of the heart, kidneys, and other organs and tissues"
D00287,abnormalities--pituitary deficiencies
D00288,abnormality
D00289,abnormality of blood and blood-forming tissues - abnormality of metabolism/homeostasis - abnormality of the immune system - autosomal recessive inheritance - the human phenotype ontology (hpo
D00290,abnormality of blood and blood-forming tissues - abnormality of metabolism/homeostasis - autosomal dominant inheritance
D00291,abnormality of blood and blood-forming tissues - abnormality of the eye - autosomal recessive inheritance - diarrhea - failure to thrive - growth delay - hypoalbuminemia - hypobetalipoproteinemia - hypocholesterolemia - infantile onset - intellectual disability - malnutrition - steatorrhea - vomiting - the human phenotype ontology (hpo
D00292,abnormality of blood and blood-forming tissues - abnormality of the face - anterior beaking of lumbar vertebrae - autosomal recessive inheritance - decreased beta-galactosidase activity - diffuse cerebral atrophy
D00293,abnormality of blood and blood-forming tissues - abnormality of the hair - abnormality of the pinna - cataract - depressed nasal bridge - diabetes mellitus - growth abnormality - low-set ears - microcephaly - neoplasm - osteoporosis - osteosarcoma - round face - the human phenotype ontology (hpo
D00294,abnormality of blood and blood-forming tissues - alopecia - ataxia - autosomal recessive inheritance - congenital nonbullous ichthyosiform erythroderma - ectropion - hepatic steatosis - hepatomegaly - intellectual disability - microtia - muscle weakness
D00295,abnormality of blood and blood-forming tissues - alopecia - autosomal recessive inheritance - cholangitis - dry skin - hypodontia - hypoplasia of dental enamel - hypotrichosis - jaundice - oligodontia - orthokeratosis - parakeratosis - sparse eyelashes - the human phenotype ontology (hpo
D00296,abnormality of blood and blood-forming tissues - anasarca - autosomal dominant inheritance - chronic kidney disease
D00297,abnormality of blood and blood-forming tissues - autosomal recessive inheritance - chorioretinal atrophy
D00298,abnormality of blood and blood-forming tissues - brachydactyly syndrome
D00299,abnormality of cardiovascular system morphology - abnormality of skin pigmentation - absent radius - absent thumb - anemic pallor - bruising susceptibility - chromosomal breakage
D00300,abnormality of cardiovascular system morphology - abnormality of the ear - agenesis of corpus callosum - autosomal recessive inheritance - congenital glaucoma
D00301,abnormality of cardiovascular system morphology - abnormality of the kidney - abnormality of the pinna - aggressive behavior - anterior open-bite malocclusion
D00302,abnormality of cardiovascular system morphology - abnormality of the pinna - autosomal dominant inheritance - delayed speech and language development - depressed nasal ridge - growth delay - high palate - intellectual disability - low-set ears - nasal speech - specific learning disability - sporadic - velopharyngeal insufficiency
D00303,abnormality of cardiovascular system morphology - abnormality of the tracheobronchial system - autosomal recessive inheritance - growth delay - intellectual disability - micropenis - microphallus - sagittal craniosynostosis - the human phenotype ontology (hpo
D00304,abnormality of cardiovascular system morphology - anal atresia - autosomal recessive inheritance - congenital hip dislocation - edema - edema of the lower limbs - hydrometrocolpos - hydronephrosis - hydroureter - mesoaxial hand polydactyly - polycystic kidney dysplasia - pulmonary hypoplasia - rectovaginal fistula - syndactyly - transverse vaginal septum - vaginal atresia - vesicovaginal fistula
D00305,abnormality of cardiovascular system morphology - anal stenosis
D00306,abnormality of cardiovascular system morphology - anterior hypopituitarism - autosomal recessive inheritance - cleft palate - depressed nasal bridge - glioma - hip dislocation
D00307,abnormality of cardiovascular system morphology - ataxia - autistic behavior - autosomal dominant inheritance - broad forehead - cleft palate - clumsiness - delayed speech and language development - feeding difficulties - happy demeanor - hypertelorism - incomplete penetrance - intellectual disability - muscular hypotonia - obsessive-compulsive behavior - plagiocephaly - seizures - slender finger - the human phenotype ontology (hpo
D00308,abnormality of cardiovascular system morphology - autosomal recessive inheritance - brachydactyly syndrome
D00309,abnormality of cardiovascular system morphology - autosomal recessive inheritance - skeletal dysplasia - the human phenotype ontology (hpo
D00310,abnormality of cardiovascular system morphology 13% abnormality of the ulna 7.5% absent hand 7.5% aplasia/hypoplasia of the iris 7.5% aplasia/hypoplasia of the tongue 7.5
D00311,abnormality of cardiovascular system morphology 21/505 abnormality of the pinna - autosomal dominant inheritance - autosomal recessive inheritance - cervicomedullary schisis - cleft upper lip - conductive hearing impairment
D00312,abnormality of cardiovascular system morphology 5% seizures
D00313,abnormality of cardiovascular system morphology 7.5% abnormality of epiphysis morphology 7.5% abnormality of the adrenal glands 7.5% abnormality of the cranial nerves 7.5% abnormality of the fingernails
D00314,abnormality of coagulation
D00315,abnormality of extrapyramidal motor function
D00316,abnormality of extrapyramidal motor function - autosomal recessive inheritance - cerebral cortical atrophy
D00317,abnormality of eye movement - autosomal dominant inheritance - bradykinesia - chorea - dementia - depression - gliosis - hyperreflexia - neuronal loss
D00318,abnormality of frontal sinus
D00319,abnormality of pelvic girdle
D00320,abnormality of skin pigmentation
D00321,abnormality of skin pigmentation - abnormality of the skeletal system - autosomal recessive inheritance - conjugated hyperbilirubinemia
D00322,abortion
D00323,abortions
D00324,abpa
D00325,abrasions
D00326,abscess
D00327,absence of bowel movements
D00328,absence of thymus
D00329,absence seizures
D00330,absence seizures - aggressive behavior
D00331,absence seizures - areflexia - ataxia - atonic seizures - autosomal recessive inheritance - difficulty walking - dysarthria
D00332,absence seizures - ataxia - autosomal dominant inheritance - cerebral atrophy
D00333,absence seizures - ataxia - autosomal recessive inheritance - dysarthria
D00334,absence seizures - autosomal dominant inheritance
D00335,absence seizures - autosomal recessive inheritance - generalized tonic-clonic seizures - intellectual disability - pachygyria - profound static
D00336,absence seizures - cognitive impairment
D00337,absence seizures - hoarse voice - intellectual disability
D00338,absent anterior eye chamber - autosomal recessive inheritance - barrel-shaped chest - blindness - glioma - intellectual disability
D00339,absent collarbones
D00340,absent distal interphalangeal creases - autosomal dominant inheritance
D00341,absent or small nails
D00342,absent polydactyly arachnoid cyst
D00343,absent pulmonary valve - the human phenotype ontology (hpo
D00344,"absent tear duct openings in the eyes, and chronic sinus or ear infections"
D00345,absent thumb - anal atresia - autosomal dominant inheritance
D00346,absent thumb - autosomal dominant inheritance - hypoplastic anemia
D00347,absent toenail - amenorrhea - aplasia/hypoplasia of the phalanges of the hand - autosomal recessive inheritance - fibular aplasia - the human phenotype ontology (hpo
D00348,acalculia
D00349,acampomelic campomelic dysplasia
D00350,acanthamoeba
D00351,acanthamoeba keratitis
D00352,acanthocytosis
D00353,acanthocytosis - aggressive behavior
D00354,acantholysis
D00355,acantholysis - autosomal recessive inheritance - mitten deformity
D00356,acantholytic
D00357,acanthoma
D00358,acanthomas
D00359,acanthosis
D00360,acanthosis nigricans
D00361,acanthosis nigricans - adipose
D00362,acanthosis nigricans - autosomal recessive inheritance
D00363,acanthosis nigricans - autosomal recessive inheritance - insulin resistance - muscle cramps
D00364,acanthosis nigricans muscle cramps acral enlargement
D00365,acatalasemia
D00366,accidental injury
D00367,accidental loss
D00368,accidental loss of urine
D00369,accidental traumatic brain injury
D00370,accidents
D00371,acd/mpv
D00372,ace inhibitor
D00373,ace inhibitors block
D00374,aceruloplasminemia
D00375,acetazolamide-responsive
D00376,achalasia
D00377,achalasia - autosomal dominant inheritance - cleft palate - cleft upper lip - externally rotated hips - generalized dystonia
D00378,achalasia - autosomal recessive inheritance - hearing impairment
D00379,achalasia - autosomal recessive inheritance - keratoconjunctivitis sicca - rheumatoid arthritis - xerostomia - the human phenotype ontology (hpo
D00380,ache
D00381,aches
D00382,achilles tendon injuries
D00383,achilles tendons
D00384,achiness
D00385,aching joints
D00386,aching or burning sensations
D00387,aching pain
D00388,achlorhydria
D00389,achondrogenesis
D00390,achondroplasia
D00391,achondroplasia snore
D00392,achromatopsia
D00393,achromatopsia - autosomal recessive inheritance - cataract - dyschromatopsia - horizontal pendular nystagmus
D00394,achy
D00395,acid lipase deficiency
D00396,acid lipase disease
D00397,acid storage disease
D00398,acidemia
D00399,acidemia - glutaric aciduria
D00400,acidemia - methylmalonic aciduria - muscular hypotonia - nephropathy - neutropenia - nystagmus
D00401,acidemia - methylmalonic aciduria - muscular hypotonia - ophthalmoplegia - peripheral neuropathy
D00402,acidemia - methylmalonic aciduria - nephropathy - neutropenia - nystagmus
D00403,acidemia type ii
D00404,acidosis
D00405,aciduria
D00406,aciduria - agenesis of cerebellar vermis - arthralgia - autosomal recessive inheritance - cerebellar atrophy
D00407,aciduria - muscular hypotonia - seizures - vomiting - the human
D00408,acinetobacter
D00409,acinetobacter baumannii
D00410,acinetobacter infection
D00411,acinetobacter infections
D00412,ackd
D00413,acml
D00414,acne
D00415,acne - autosomal recessive inheritance - hirsutism - infertility - obesity - oligomenorrhea - the human phenotype ontology (hpo
D00416,acne inversa
D00417,acquired color vision deficiencies
D00418,acquired cutis laxa
D00419,acquired cystic kidney disease
D00420,acquired disorder
D00421,acquired hemochromatosis
D00422,acquired hemophilia
D00423,acquired hemophilia a
D00424,acquired hydrocephalus
D00425,acquired immunodeficiency syndrome
D00426,acquired long qt syndrome
D00427,acquired nephrogenic diabetes insipidus
D00428,acquired von willebrand syndrome
D00429,acral peeling skin syndrome
D00430,acral ulceration
D00431,acro-osteolysis
D00432,acro-renal-ocular syndrome
D00433,acrobrachycephaly
D00434,acrocallosal syndrome
D00435,acrocephalopolydactylous dysplasia
D00436,acrocephaly
D00437,acrocyanosis
D00438,acrodermatitis enteropathica
D00439,acrodysplasia scoliosis
D00440,acrofacial dysostosis
D00441,acrogeria
D00442,acrokeratoelastoidosis
D00443,acrokeratosis
D00444,acrokeratosis - anhidrosis - intellectual disability
D00445,acrokeratosis - autosomal dominant inheritance
D00446,acromegaly
D00447,acromelic
D00448,acromesomelia - aplasia/hypoplasia
D00449,acromesomelia - autosomal recessive inheritance - beaking of vertebral bodies - broad finger - broad metacarpals - broad metatarsal - broad phalanx - cone-shaped epiphyses of the phalanges of the hand - disproportionate short stature - flared metaphysis - hypoplasia of the radius - joint laxity - limited elbow extension - long hallux - lower thoracic kyphosis - lumbar hyperlordosis
D00450,acromesomelic dysplasia
D00451,acromesomelic dysplasia hunter thompson type
D00452,acromicric dysplasia
D00453,acroosteolysis
D00454,acroosteolysis dominant
D00455,acroparesthesias
D00456,acrorenal mandibular syndrome
D00457,acta1
D00458,acth deficiency
D00459,acth syndrome
D00460,acth-independent macronodular adrenal hyperplasia
D00461,acth-producing tumor
D00462,acth-producing tumors
D00463,acth-producing tumors of the pituitary gland
D00464,acth-secreting pituitary adenomas
D00465,acth-secreting tumors
D00466,actinic cheilitis
D00467,actinic injury
D00468,actinic keratoses lesions
D00469,actinic keratosis
D00470,actinic lesions
D00471,actinomyces israelii
D00472,actinomycosis
D00473,acupuncture
D00474,acute appendicitis
D00475,acute bronchitis
D00476,acute chest syndrome
D00477,acute diarrhea
D00478,acute gouty arthritis
D00479,acute granulocytic leukemia
D00480,acute hemolytic anemia
D00481,acute hemorrhagic necrosis of the adrenal glands and severe cardiovascular dysfunction
D00482,acute hepatic failure
D00483,acute hepatic failure - autosomal recessive inheritance - elevated hepatic transaminases - feeding difficulties
D00484,acute illness
D00485,acute infantile neuropathic gaucher disease
D00486,acute infection
D00487,acute infections
D00488,acute injury so blood loss
D00489,acute iritis
D00490,acute kidney disease
D00491,acute kidney failure
D00492,acute kidney injury
D00493,acute kidney injury - anuria - autosomal dominant inheritance - autosomal recessive inheritance - cognitive impairment
D00494,acute kidney injury - autosomal recessive inheritance - hypouricemia
D00495,acute leukemia
D00496,acute liver failure
D00497,acute liver failure - cincinnati children's hospital: cardiomyopathies
D00498,acute liver injury
D00499,acute lung injury
D00500,acute lymphoblastic leukemia
D00501,acute lymphoblastic leukemia - autosomal recessive inheritance - brachycephaly - broad-based gait - cerebral atrophy
D00502,acute lymphocytic leukemia
D00503,acute lymphocytic leukemia or lymphoma
D00504,acute megakaryocytic leukemia - aganglionic megacolon - anal atresia - atlantoaxial instability - brachycephaly - broad palm - brushfield spots - complete atrioventricular canal defect - conductive hearing impairment - duodenal stenosis - epicanthus - flat face - hypoplastic iliac wing - hypothyroidism - intellectual disability - joint laxity - macroglossia - malar flattening - microtia - muscular hypotonia - myeloproliferative disorder
D00505,acute monocytic leukemia - anemia - autosomal dominant inheritance - autosomal recessive inheritance - congenital agranulocytosis - eosinophilia - growth abnormality
D00506,acute myeloblastic leukemia
D00507,acute myelogenous leukemia
D00508,acute myeloid leukemia
D00509,acute myelomonocytic leukemia - ataxia - autosomal dominant inheritance - cerebellar atrophy
D00510,acute nonlymphocytic leukemia
D00511,acute pain
D00512,acute pancreatitis
D00513,acute pericarditis
D00514,acute porphyria
D00515,acute porphyrias
D00516,acute post-streptococcal glomerulonephritis
D00517,acute promyelocytic leukemia
D00518,acute pulmonary edema
D00519,acute q fever
D00520,acute q fever illness
D00521,acute q fever infection
D00522,acute renal failure
D00523,acute respiratory distress syndrome
D00524,acute respiratory failure
D00525,acute respiratory syndrome
D00526,acute stroke
D00527,acute traumatic injury or cervical disc herniation
D00528,acute tubular necrosis - autosomal recessive inheritance - cerebellar dysplasia - congenital cataract - encephalopathy - intellectual disability - short stature
D00529,ad
D00530,ad robinow syndrome
D00531,ad spondylocostal dysostosis
D00532,"ad, damage"
D00533,ad-hies
D00534,ad-pkd
D00535,ad-pkd experience liver cysts
D00536,ada deficiency
D00537,adams-oliver syndrome
D00538,adamts13
D00539,add
D00540,add/adhd
D00541,addh
D00542,addiction
D00543,addison disease
D00544,addison's disease
D00545,addison's disease - medlineplus encyclopedia: autoimmune disorders - medlineplus encyclopedia: cutaneous candidiasis
D00546,addison-schilder disease
D00547,addisonian
D00548,addisons disease
D00549,adear
D00550,adem
D00551,adenitis
D00552,adenoameloblastoma
D00553,adenoameloblastomas
D00554,adenocarcinoma
D00555,adenocarcinoma of the appendix
D00556,adenocarcinoma of the appendix include mucinous adenocarcinoma
D00557,adenocarcinoma of the appendix? the most common clinical symptom is acute appendicitis
D00558,adenocarcinomas
D00559,adenoid cystic carcinoma
D00560,adenoids
D00561,adenoma
D00562,adenoma sebaceum
D00563,adenoma sebaceum - adrenocortical adenoma - autosomal dominant inheritance - cafe-au-lait spot - carcinoid tumor - confetti-like hypopigmented macules - diarrhea - esophagitis - glucagonoma - growth hormone excess - hypoglycemia - insulinoma - parathyroid adenoma - peptic ulcer - pituitary adenoma - pituitary prolactin cell adenoma - subcutaneous lipoma - zollinger-ellison syndrome
D00564,adenomas
