:START_ID(Question),:END_ID(Chemical),:TYPE
Q00037,C00389,QUESTION_HAS_CHEMICAL
Q00037,C01740,QUESTION_HAS_CHEMICAL
Q00037,C01488,QUESTION_HAS_CHEMICAL
Q00037,C00756,QUESTION_HAS_CHEMICAL
Q00037,C02033,QUESTION_HAS_CHEMICAL
Q00042,C01739,QUESTION_HAS_CHEMICAL
Q00042,C00144,QUESTION_HAS_CHEMICAL
Q00042,C00344,QUESTION_HAS_CHEMICAL
Q00042,C02258,QUESTION_HAS_CHEMICAL
Q00042,C00389,QUESTION_HAS_CHEMICAL
Q00042,C01488,QUESTION_HAS_CHEMICAL
Q00053,C00135,QUESTION_HAS_CHEMICAL
Q00053,C00754,QUESTION_HAS_CHEMICAL
Q00054,C00135,QUESTION_HAS_CHEMICAL
Q00054,C00139,QUESTION_HAS_CHEMICAL
Q00055,C00135,QUESTION_HAS_CHEMICAL
Q00056,C00135,QUESTION_HAS_CHEMICAL
Q00056,C00291,QUESTION_HAS_CHEMICAL
Q00057,C00135,QUESTION_HAS_CHEMICAL
Q00057,C00291,QUESTION_HAS_CHEMICAL
Q00058,C00405,QUESTION_HAS_CHEMICAL
Q00058,C02222,QUESTION_HAS_CHEMICAL
Q00058,C00232,QUESTION_HAS_CHEMICAL
Q00058,C01380,QUESTION_HAS_CHEMICAL
Q00058,C00136,QUESTION_HAS_CHEMICAL
Q00058,C01722,QUESTION_HAS_CHEMICAL
Q00058,C00073,QUESTION_HAS_CHEMICAL
Q00058,C00135,QUESTION_HAS_CHEMICAL
Q00058,C00669,QUESTION_HAS_CHEMICAL
Q00059,C00135,QUESTION_HAS_CHEMICAL
Q00060,C00135,QUESTION_HAS_CHEMICAL
Q00060,C00069,QUESTION_HAS_CHEMICAL
Q00061,C00135,QUESTION_HAS_CHEMICAL
Q00062,C00135,QUESTION_HAS_CHEMICAL
Q00062,C00291,QUESTION_HAS_CHEMICAL
Q00063,C00135,QUESTION_HAS_CHEMICAL
Q00067,C01383,QUESTION_HAS_CHEMICAL
Q00067,C01993,QUESTION_HAS_CHEMICAL
Q00067,C01222,QUESTION_HAS_CHEMICAL
Q00067,C00493,QUESTION_HAS_CHEMICAL
Q00067,C00547,QUESTION_HAS_CHEMICAL
Q00067,C00382,QUESTION_HAS_CHEMICAL
Q00067,C00079,QUESTION_HAS_CHEMICAL
Q00067,C00135,QUESTION_HAS_CHEMICAL
Q00067,C00900,QUESTION_HAS_CHEMICAL
Q00067,C02217,QUESTION_HAS_CHEMICAL
Q00067,C01036,QUESTION_HAS_CHEMICAL
Q00074,C01993,QUESTION_HAS_CHEMICAL
Q00074,C01222,QUESTION_HAS_CHEMICAL
Q00074,C00493,QUESTION_HAS_CHEMICAL
Q00074,C00547,QUESTION_HAS_CHEMICAL
Q00074,C00900,QUESTION_HAS_CHEMICAL
Q00074,C02217,QUESTION_HAS_CHEMICAL
Q00075,C01383,QUESTION_HAS_CHEMICAL
Q00075,C00382,QUESTION_HAS_CHEMICAL
Q00075,C00079,QUESTION_HAS_CHEMICAL
Q00075,C00135,QUESTION_HAS_CHEMICAL
Q00075,C01036,QUESTION_HAS_CHEMICAL
Q00077,C01334,QUESTION_HAS_CHEMICAL
Q00077,C01775,QUESTION_HAS_CHEMICAL
Q00077,C00912,QUESTION_HAS_CHEMICAL
Q00077,C01348,QUESTION_HAS_CHEMICAL
Q00078,C01843,QUESTION_HAS_CHEMICAL
Q00078,C00255,QUESTION_HAS_CHEMICAL
Q00078,C01071,QUESTION_HAS_CHEMICAL
Q00080,C01775,QUESTION_HAS_CHEMICAL
Q00085,C00255,QUESTION_HAS_CHEMICAL
Q00086,C00255,QUESTION_HAS_CHEMICAL
Q00091,C00135,QUESTION_HAS_CHEMICAL
Q00092,C00135,QUESTION_HAS_CHEMICAL
Q00092,C00855,QUESTION_HAS_CHEMICAL
Q00093,C00855,QUESTION_HAS_CHEMICAL
Q00097,C00855,QUESTION_HAS_CHEMICAL
Q00104,C00903,QUESTION_HAS_CHEMICAL
Q00104,C00901,QUESTION_HAS_CHEMICAL
Q00104,C00485,QUESTION_HAS_CHEMICAL
Q00105,C00901,QUESTION_HAS_CHEMICAL
Q00105,C00485,QUESTION_HAS_CHEMICAL
Q00106,C01282,QUESTION_HAS_CHEMICAL
Q00106,C00692,QUESTION_HAS_CHEMICAL
Q00106,C00901,QUESTION_HAS_CHEMICAL
Q00106,C00485,QUESTION_HAS_CHEMICAL
Q00107,C00832,QUESTION_HAS_CHEMICAL
Q00107,C00901,QUESTION_HAS_CHEMICAL
Q00108,C01842,QUESTION_HAS_CHEMICAL
Q00108,C00279,QUESTION_HAS_CHEMICAL
Q00108,C00901,QUESTION_HAS_CHEMICAL
Q00108,C00485,QUESTION_HAS_CHEMICAL
Q00109,C00901,QUESTION_HAS_CHEMICAL
Q00110,C00901,QUESTION_HAS_CHEMICAL
Q00111,C00901,QUESTION_HAS_CHEMICAL
Q00112,C00901,QUESTION_HAS_CHEMICAL
Q00115,C00901,QUESTION_HAS_CHEMICAL
Q00115,C00485,QUESTION_HAS_CHEMICAL
Q00116,C00901,QUESTION_HAS_CHEMICAL
Q00116,C00485,QUESTION_HAS_CHEMICAL
Q00117,C00692,QUESTION_HAS_CHEMICAL
Q00118,C00901,QUESTION_HAS_CHEMICAL
Q00119,C01148,QUESTION_HAS_CHEMICAL
Q00119,C00901,QUESTION_HAS_CHEMICAL
Q00119,C00485,QUESTION_HAS_CHEMICAL
Q00120,C02072,QUESTION_HAS_CHEMICAL
Q00120,C00485,QUESTION_HAS_CHEMICAL
Q00122,C00485,QUESTION_HAS_CHEMICAL
Q00131,C01475,QUESTION_HAS_CHEMICAL
Q00139,C02017,QUESTION_HAS_CHEMICAL
Q00142,C00409,QUESTION_HAS_CHEMICAL
Q00149,C00391,QUESTION_HAS_CHEMICAL
Q00150,C00135,QUESTION_HAS_CHEMICAL
Q00150,C00203,QUESTION_HAS_CHEMICAL
Q00150,C01775,QUESTION_HAS_CHEMICAL
Q00150,C01214,QUESTION_HAS_CHEMICAL
Q00150,C01845,QUESTION_HAS_CHEMICAL
Q00150,C02139,QUESTION_HAS_CHEMICAL
Q00150,C00382,QUESTION_HAS_CHEMICAL
Q00150,C00249,QUESTION_HAS_CHEMICAL
Q00151,C00255,QUESTION_HAS_CHEMICAL
Q00151,C00279,QUESTION_HAS_CHEMICAL
Q00152,C00880,QUESTION_HAS_CHEMICAL
Q00152,C01775,QUESTION_HAS_CHEMICAL
Q00152,C00382,QUESTION_HAS_CHEMICAL
Q00152,C01845,QUESTION_HAS_CHEMICAL
Q00152,C00135,QUESTION_HAS_CHEMICAL
Q00152,C00551,QUESTION_HAS_CHEMICAL
Q00152,C00391,QUESTION_HAS_CHEMICAL
Q00156,C00391,QUESTION_HAS_CHEMICAL
Q00158,C02139,QUESTION_HAS_CHEMICAL
Q00158,C00250,QUESTION_HAS_CHEMICAL
Q00158,C00249,QUESTION_HAS_CHEMICAL
Q00158,C00203,QUESTION_HAS_CHEMICAL
Q00160,C00255,QUESTION_HAS_CHEMICAL
Q00160,C00279,QUESTION_HAS_CHEMICAL
Q00161,C00391,QUESTION_HAS_CHEMICAL
Q00162,C00880,QUESTION_HAS_CHEMICAL
Q00162,C01775,QUESTION_HAS_CHEMICAL
Q00162,C00382,QUESTION_HAS_CHEMICAL
Q00162,C01845,QUESTION_HAS_CHEMICAL
Q00162,C00135,QUESTION_HAS_CHEMICAL
Q00162,C00551,QUESTION_HAS_CHEMICAL
Q00165,C01842,QUESTION_HAS_CHEMICAL
Q00167,C01333,QUESTION_HAS_CHEMICAL
Q00167,C01843,QUESTION_HAS_CHEMICAL
Q00168,C01403,QUESTION_HAS_CHEMICAL
Q00169,C01998,QUESTION_HAS_CHEMICAL
Q00174,C02196,QUESTION_HAS_CHEMICAL
Q00174,C00820,QUESTION_HAS_CHEMICAL
Q00174,C01998,QUESTION_HAS_CHEMICAL
Q00174,C00799,QUESTION_HAS_CHEMICAL
Q00174,C01792,QUESTION_HAS_CHEMICAL
Q00174,C01407,QUESTION_HAS_CHEMICAL
Q00174,C01171,QUESTION_HAS_CHEMICAL
Q00176,C01998,QUESTION_HAS_CHEMICAL
Q00198,C01927,QUESTION_HAS_CHEMICAL
Q00198,C00382,QUESTION_HAS_CHEMICAL
Q00198,C00135,QUESTION_HAS_CHEMICAL
Q00209,C00382,QUESTION_HAS_CHEMICAL
Q00209,C00135,QUESTION_HAS_CHEMICAL
Q00212,C00378,QUESTION_HAS_CHEMICAL
Q00212,C01842,QUESTION_HAS_CHEMICAL
Q00212,C02182,QUESTION_HAS_CHEMICAL
Q00212,C01897,QUESTION_HAS_CHEMICAL
Q00212,C00747,QUESTION_HAS_CHEMICAL
Q00212,C02217,QUESTION_HAS_CHEMICAL
Q00212,C00391,QUESTION_HAS_CHEMICAL
Q00214,C01614,QUESTION_HAS_CHEMICAL
Q00214,C00629,QUESTION_HAS_CHEMICAL
Q00214,C00554,QUESTION_HAS_CHEMICAL
Q00215,C00747,QUESTION_HAS_CHEMICAL
Q00215,C02182,QUESTION_HAS_CHEMICAL
Q00215,C00344,QUESTION_HAS_CHEMICAL
Q00215,C01661,QUESTION_HAS_CHEMICAL
Q00215,C01802,QUESTION_HAS_CHEMICAL
Q00215,C01425,QUESTION_HAS_CHEMICAL
Q00215,C00389,QUESTION_HAS_CHEMICAL
Q00215,C00342,QUESTION_HAS_CHEMICAL
Q00215,C00752,QUESTION_HAS_CHEMICAL
Q00215,C01103,QUESTION_HAS_CHEMICAL
Q00215,C00391,QUESTION_HAS_CHEMICAL
Q00216,C02182,QUESTION_HAS_CHEMICAL
Q00216,C00391,QUESTION_HAS_CHEMICAL
Q00219,C01842,QUESTION_HAS_CHEMICAL
Q00219,C02182,QUESTION_HAS_CHEMICAL
Q00219,C01897,QUESTION_HAS_CHEMICAL
Q00219,C00747,QUESTION_HAS_CHEMICAL
Q00219,C02217,QUESTION_HAS_CHEMICAL
Q00219,C00391,QUESTION_HAS_CHEMICAL
Q00220,C00898,QUESTION_HAS_CHEMICAL
Q00220,C01903,QUESTION_HAS_CHEMICAL
Q00220,C02184,QUESTION_HAS_CHEMICAL
Q00220,C00135,QUESTION_HAS_CHEMICAL
Q00220,C00391,QUESTION_HAS_CHEMICAL
Q00222,C01879,QUESTION_HAS_CHEMICAL
Q00222,C00249,QUESTION_HAS_CHEMICAL
Q00226,C01614,QUESTION_HAS_CHEMICAL
Q00226,C00629,QUESTION_HAS_CHEMICAL
Q00226,C00554,QUESTION_HAS_CHEMICAL
Q00228,C02182,QUESTION_HAS_CHEMICAL
Q00228,C00344,QUESTION_HAS_CHEMICAL
Q00228,C00747,QUESTION_HAS_CHEMICAL
Q00228,C00389,QUESTION_HAS_CHEMICAL
Q00228,C02217,QUESTION_HAS_CHEMICAL
Q00228,C00391,QUESTION_HAS_CHEMICAL
Q00229,C00747,QUESTION_HAS_CHEMICAL
Q00229,C00344,QUESTION_HAS_CHEMICAL
Q00229,C01661,QUESTION_HAS_CHEMICAL
Q00229,C01802,QUESTION_HAS_CHEMICAL
Q00229,C01425,QUESTION_HAS_CHEMICAL
Q00229,C00389,QUESTION_HAS_CHEMICAL
Q00229,C00342,QUESTION_HAS_CHEMICAL
Q00229,C00752,QUESTION_HAS_CHEMICAL
Q00229,C01103,QUESTION_HAS_CHEMICAL
Q00229,C00391,QUESTION_HAS_CHEMICAL
Q00232,C00135,QUESTION_HAS_CHEMICAL
Q00232,C01842,QUESTION_HAS_CHEMICAL
Q00232,C01775,QUESTION_HAS_CHEMICAL
Q00232,C00485,QUESTION_HAS_CHEMICAL
Q00233,C00133,QUESTION_HAS_CHEMICAL
Q00234,C01842,QUESTION_HAS_CHEMICAL
Q00234,C00226,QUESTION_HAS_CHEMICAL
Q00234,C01383,QUESTION_HAS_CHEMICAL
Q00234,C01775,QUESTION_HAS_CHEMICAL
Q00234,C00901,QUESTION_HAS_CHEMICAL
Q00234,C00267,QUESTION_HAS_CHEMICAL
Q00234,C01036,QUESTION_HAS_CHEMICAL
Q00234,C01845,QUESTION_HAS_CHEMICAL
Q00234,C01433,QUESTION_HAS_CHEMICAL
Q00234,C00485,QUESTION_HAS_CHEMICAL
Q00235,C01598,QUESTION_HAS_CHEMICAL
Q00235,C01845,QUESTION_HAS_CHEMICAL
Q00235,C00485,QUESTION_HAS_CHEMICAL
Q00241,C00901,QUESTION_HAS_CHEMICAL
Q00243,C01598,QUESTION_HAS_CHEMICAL
Q00243,C01775,QUESTION_HAS_CHEMICAL
Q00243,C01845,QUESTION_HAS_CHEMICAL
Q00248,C02172,QUESTION_HAS_CHEMICAL
Q00249,C00771,QUESTION_HAS_CHEMICAL
Q00251,C02217,QUESTION_HAS_CHEMICAL
Q00251,C01715,QUESTION_HAS_CHEMICAL
Q00252,C01381,QUESTION_HAS_CHEMICAL
Q00252,C00679,QUESTION_HAS_CHEMICAL
Q00252,C01269,QUESTION_HAS_CHEMICAL
Q00252,C01706,QUESTION_HAS_CHEMICAL
Q00252,C00765,QUESTION_HAS_CHEMICAL
Q00252,C01746,QUESTION_HAS_CHEMICAL
Q00252,C00860,QUESTION_HAS_CHEMICAL
Q00252,C00270,QUESTION_HAS_CHEMICAL
Q00264,C01381,QUESTION_HAS_CHEMICAL
Q00264,C00679,QUESTION_HAS_CHEMICAL
Q00264,C01269,QUESTION_HAS_CHEMICAL
Q00264,C01706,QUESTION_HAS_CHEMICAL
Q00264,C00765,QUESTION_HAS_CHEMICAL
Q00264,C01746,QUESTION_HAS_CHEMICAL
Q00264,C00860,QUESTION_HAS_CHEMICAL
Q00264,C00270,QUESTION_HAS_CHEMICAL
Q00275,C00514,QUESTION_HAS_CHEMICAL
Q00276,C01614,QUESTION_HAS_CHEMICAL
Q00276,C01154,QUESTION_HAS_CHEMICAL
Q00276,C02182,QUESTION_HAS_CHEMICAL
Q00276,C01008,QUESTION_HAS_CHEMICAL
Q00276,C01903,QUESTION_HAS_CHEMICAL
Q00276,C00579,QUESTION_HAS_CHEMICAL
Q00276,C00937,QUESTION_HAS_CHEMICAL
Q00276,C02213,QUESTION_HAS_CHEMICAL
Q00276,C01935,QUESTION_HAS_CHEMICAL
Q00276,C02045,QUESTION_HAS_CHEMICAL
Q00276,C00554,QUESTION_HAS_CHEMICAL
Q00276,C01287,QUESTION_HAS_CHEMICAL
Q00276,C00391,QUESTION_HAS_CHEMICAL
Q00277,C00747,QUESTION_HAS_CHEMICAL
Q00277,C01998,QUESTION_HAS_CHEMICAL
Q00277,C01897,QUESTION_HAS_CHEMICAL
Q00282,C00514,QUESTION_HAS_CHEMICAL
Q00284,C01614,QUESTION_HAS_CHEMICAL
Q00284,C01154,QUESTION_HAS_CHEMICAL
Q00284,C01008,QUESTION_HAS_CHEMICAL
Q00284,C01903,QUESTION_HAS_CHEMICAL
Q00284,C00579,QUESTION_HAS_CHEMICAL
Q00284,C01935,QUESTION_HAS_CHEMICAL
Q00284,C02045,QUESTION_HAS_CHEMICAL
Q00284,C00554,QUESTION_HAS_CHEMICAL
Q00284,C01287,QUESTION_HAS_CHEMICAL
Q00285,C02213,QUESTION_HAS_CHEMICAL
Q00285,C00391,QUESTION_HAS_CHEMICAL
Q00287,C00917,QUESTION_HAS_CHEMICAL
Q00287,C00694,QUESTION_HAS_CHEMICAL
Q00287,C00279,QUESTION_HAS_CHEMICAL
Q00304,C01843,QUESTION_HAS_CHEMICAL
Q00304,C01842,QUESTION_HAS_CHEMICAL
Q00305,C01842,QUESTION_HAS_CHEMICAL
Q00305,C00807,QUESTION_HAS_CHEMICAL
Q00306,C01475,QUESTION_HAS_CHEMICAL
Q00306,C00365,QUESTION_HAS_CHEMICAL
Q00308,C01842,QUESTION_HAS_CHEMICAL
Q00308,C01475,QUESTION_HAS_CHEMICAL
Q00309,C01843,QUESTION_HAS_CHEMICAL
Q00309,C01842,QUESTION_HAS_CHEMICAL
Q00309,C00844,QUESTION_HAS_CHEMICAL
Q00312,C01475,QUESTION_HAS_CHEMICAL
Q00314,C01842,QUESTION_HAS_CHEMICAL
Q00315,C01067,QUESTION_HAS_CHEMICAL
Q00315,C01903,QUESTION_HAS_CHEMICAL
Q00315,C00365,QUESTION_HAS_CHEMICAL
Q00320,C00812,QUESTION_HAS_CHEMICAL
Q00320,C00694,QUESTION_HAS_CHEMICAL
Q00321,C02217,QUESTION_HAS_CHEMICAL
Q00332,C02251,QUESTION_HAS_CHEMICAL
Q00333,C02251,QUESTION_HAS_CHEMICAL
Q00333,C02196,QUESTION_HAS_CHEMICAL
Q00333,C00321,QUESTION_HAS_CHEMICAL
Q00333,C00571,QUESTION_HAS_CHEMICAL
Q00333,C00547,QUESTION_HAS_CHEMICAL
Q00333,C02253,QUESTION_HAS_CHEMICAL
Q00333,C02179,QUESTION_HAS_CHEMICAL
Q00340,C00812,QUESTION_HAS_CHEMICAL
Q00340,C00694,QUESTION_HAS_CHEMICAL
Q00341,C01897,QUESTION_HAS_CHEMICAL
Q00341,C00485,QUESTION_HAS_CHEMICAL
Q00349,C01897,QUESTION_HAS_CHEMICAL
Q00350,C00485,QUESTION_HAS_CHEMICAL
Q00359,C02172,QUESTION_HAS_CHEMICAL
Q00360,C00247,QUESTION_HAS_CHEMICAL
Q00365,C00510,QUESTION_HAS_CHEMICAL
Q00365,C01803,QUESTION_HAS_CHEMICAL
Q00365,C00680,QUESTION_HAS_CHEMICAL
Q00365,C00711,QUESTION_HAS_CHEMICAL
Q00365,C01427,QUESTION_HAS_CHEMICAL
Q00365,C02237,QUESTION_HAS_CHEMICAL
Q00365,C01844,QUESTION_HAS_CHEMICAL
Q00365,C00248,QUESTION_HAS_CHEMICAL
Q00365,C01886,QUESTION_HAS_CHEMICAL
Q00365,C00697,QUESTION_HAS_CHEMICAL
Q00365,C00249,QUESTION_HAS_CHEMICAL
Q00365,C00247,QUESTION_HAS_CHEMICAL
Q00365,C00455,QUESTION_HAS_CHEMICAL
Q00365,C00581,QUESTION_HAS_CHEMICAL
Q00365,C01244,QUESTION_HAS_CHEMICAL
Q00365,C02144,QUESTION_HAS_CHEMICAL
Q00365,C01888,QUESTION_HAS_CHEMICAL
Q00365,C00819,QUESTION_HAS_CHEMICAL
Q00365,C01650,QUESTION_HAS_CHEMICAL
Q00365,C01245,QUESTION_HAS_CHEMICAL
Q00366,C02239,QUESTION_HAS_CHEMICAL
Q00366,C01887,QUESTION_HAS_CHEMICAL
Q00366,C01779,QUESTION_HAS_CHEMICAL
Q00366,C01761,QUESTION_HAS_CHEMICAL
Q00369,C01699,QUESTION_HAS_CHEMICAL
Q00369,C01843,QUESTION_HAS_CHEMICAL
Q00369,C00255,QUESTION_HAS_CHEMICAL
Q00369,C01071,QUESTION_HAS_CHEMICAL
Q00370,C00378,QUESTION_HAS_CHEMICAL
Q00370,C00700,QUESTION_HAS_CHEMICAL
Q00371,C01842,QUESTION_HAS_CHEMICAL
Q00371,C01614,QUESTION_HAS_CHEMICAL
Q00371,C01843,QUESTION_HAS_CHEMICAL
Q00371,C01897,QUESTION_HAS_CHEMICAL
Q00371,C01903,QUESTION_HAS_CHEMICAL
Q00371,C00873,QUESTION_HAS_CHEMICAL
Q00374,C01699,QUESTION_HAS_CHEMICAL
Q00374,C00255,QUESTION_HAS_CHEMICAL
Q00375,C01699,QUESTION_HAS_CHEMICAL
Q00375,C00807,QUESTION_HAS_CHEMICAL
Q00375,C00255,QUESTION_HAS_CHEMICAL
Q00376,C00255,QUESTION_HAS_CHEMICAL
Q00378,C01614,QUESTION_HAS_CHEMICAL
Q00378,C01903,QUESTION_HAS_CHEMICAL
Q00378,C01897,QUESTION_HAS_CHEMICAL
Q00379,C00700,QUESTION_HAS_CHEMICAL
Q00380,C00873,QUESTION_HAS_CHEMICAL
Q00382,C00747,QUESTION_HAS_CHEMICAL
Q00382,C00135,QUESTION_HAS_CHEMICAL
Q00382,C00992,QUESTION_HAS_CHEMICAL
Q00383,C00747,QUESTION_HAS_CHEMICAL
Q00383,C01701,QUESTION_HAS_CHEMICAL
Q00383,C01457,QUESTION_HAS_CHEMICAL
Q00383,C00749,QUESTION_HAS_CHEMICAL
Q00383,C01802,QUESTION_HAS_CHEMICAL
Q00383,C01971,QUESTION_HAS_CHEMICAL
Q00383,C01843,QUESTION_HAS_CHEMICAL
Q00383,C01629,QUESTION_HAS_CHEMICAL
Q00384,C01224,QUESTION_HAS_CHEMICAL
Q00387,C02096,QUESTION_HAS_CHEMICAL
Q00387,C01971,QUESTION_HAS_CHEMICAL
Q00387,C01157,QUESTION_HAS_CHEMICAL
Q00394,C00747,QUESTION_HAS_CHEMICAL
Q00394,C00135,QUESTION_HAS_CHEMICAL
Q00394,C00992,QUESTION_HAS_CHEMICAL
Q00395,C01843,QUESTION_HAS_CHEMICAL
Q00407,C01971,QUESTION_HAS_CHEMICAL
Q00407,C00752,QUESTION_HAS_CHEMICAL
Q00408,C02096,QUESTION_HAS_CHEMICAL
Q00414,C00295,QUESTION_HAS_CHEMICAL
Q00428,C00295,QUESTION_HAS_CHEMICAL
Q00431,C01164,QUESTION_HAS_CHEMICAL
Q00432,C01427,QUESTION_HAS_CHEMICAL
Q00432,C00680,QUESTION_HAS_CHEMICAL
Q00432,C00681,QUESTION_HAS_CHEMICAL
Q00432,C02055,QUESTION_HAS_CHEMICAL
Q00434,C00680,QUESTION_HAS_CHEMICAL
Q00434,C01403,QUESTION_HAS_CHEMICAL
Q00434,C00382,QUESTION_HAS_CHEMICAL
Q00434,C02217,QUESTION_HAS_CHEMICAL
Q00434,C01164,QUESTION_HAS_CHEMICAL
Q00435,C01243,QUESTION_HAS_CHEMICAL
Q00435,C01791,QUESTION_HAS_CHEMICAL
Q00435,C00680,QUESTION_HAS_CHEMICAL
Q00435,C01570,QUESTION_HAS_CHEMICAL
Q00435,C00564,QUESTION_HAS_CHEMICAL
Q00435,C01705,QUESTION_HAS_CHEMICAL
Q00435,C01755,QUESTION_HAS_CHEMICAL
Q00435,C01552,QUESTION_HAS_CHEMICAL
Q00435,C01143,QUESTION_HAS_CHEMICAL
Q00439,C00680,QUESTION_HAS_CHEMICAL
Q00440,C00680,QUESTION_HAS_CHEMICAL
Q00443,C01123,QUESTION_HAS_CHEMICAL
Q00443,C01164,QUESTION_HAS_CHEMICAL
Q00443,C00680,QUESTION_HAS_CHEMICAL
Q00444,C01164,QUESTION_HAS_CHEMICAL
Q00444,C00680,QUESTION_HAS_CHEMICAL
Q00444,C00420,QUESTION_HAS_CHEMICAL
Q00445,C01243,QUESTION_HAS_CHEMICAL
Q00445,C00175,QUESTION_HAS_CHEMICAL
Q00445,C00680,QUESTION_HAS_CHEMICAL
Q00445,C01164,QUESTION_HAS_CHEMICAL
Q00447,C01164,QUESTION_HAS_CHEMICAL
Q00450,C00564,QUESTION_HAS_CHEMICAL
Q00451,C01475,QUESTION_HAS_CHEMICAL
Q00452,C01843,QUESTION_HAS_CHEMICAL
Q00452,C00150,QUESTION_HAS_CHEMICAL
Q00452,C00731,QUESTION_HAS_CHEMICAL
Q00456,C01880,QUESTION_HAS_CHEMICAL
Q00456,C00603,QUESTION_HAS_CHEMICAL
Q00456,C01048,QUESTION_HAS_CHEMICAL
Q00456,C01980,QUESTION_HAS_CHEMICAL
Q00456,C01406,QUESTION_HAS_CHEMICAL
Q00462,C01843,QUESTION_HAS_CHEMICAL
Q00471,C01880,QUESTION_HAS_CHEMICAL
Q00471,C00603,QUESTION_HAS_CHEMICAL
Q00471,C01980,QUESTION_HAS_CHEMICAL
Q00471,C01406,QUESTION_HAS_CHEMICAL
Q00471,C01048,QUESTION_HAS_CHEMICAL
Q00472,C01843,QUESTION_HAS_CHEMICAL
Q00473,C01843,QUESTION_HAS_CHEMICAL
Q00473,C01842,QUESTION_HAS_CHEMICAL
Q00481,C01843,QUESTION_HAS_CHEMICAL
Q00481,C01842,QUESTION_HAS_CHEMICAL
Q00482,C01842,QUESTION_HAS_CHEMICAL
Q00482,C00436,QUESTION_HAS_CHEMICAL
Q00483,C01843,QUESTION_HAS_CHEMICAL
Q00483,C01842,QUESTION_HAS_CHEMICAL
Q00484,C01842,QUESTION_HAS_CHEMICAL
Q00485,C01843,QUESTION_HAS_CHEMICAL
Q00503,C00382,QUESTION_HAS_CHEMICAL
Q00503,C00135,QUESTION_HAS_CHEMICAL
Q00504,C00563,QUESTION_HAS_CHEMICAL
Q00505,C01475,QUESTION_HAS_CHEMICAL
Q00506,C01475,QUESTION_HAS_CHEMICAL
Q00507,C00279,QUESTION_HAS_CHEMICAL
Q00507,C01475,QUESTION_HAS_CHEMICAL
Q00507,C00426,QUESTION_HAS_CHEMICAL
Q00507,C01403,QUESTION_HAS_CHEMICAL
Q00507,C00901,QUESTION_HAS_CHEMICAL
Q00507,C00485,QUESTION_HAS_CHEMICAL
Q00507,C01598,QUESTION_HAS_CHEMICAL
Q00508,C01842,QUESTION_HAS_CHEMICAL
Q00508,C00485,QUESTION_HAS_CHEMICAL
Q00510,C01475,QUESTION_HAS_CHEMICAL
Q00513,C01475,QUESTION_HAS_CHEMICAL
Q00515,C00485,QUESTION_HAS_CHEMICAL
Q00517,C01842,QUESTION_HAS_CHEMICAL
Q00517,C00485,QUESTION_HAS_CHEMICAL
Q00523,C00524,QUESTION_HAS_CHEMICAL
